Year,County of Program Location,Primary Substance Group,Age Group,Population,Admissions,Percent
2009,Queens,Other Opioids,45 thru 54,2306712,77,0.0033380846850408724
2009,Queens,Other Opioids,55 and Older,2306712,29,0.0012572007255348737
2009,Queens,Other Opioids,Under 18,2306712,1,4.335174915637496e-05
2009,Rensselaer,Alcohol,18 thru 24,155541,127,0.08165049729653275
2009,Rensselaer,Alcohol,25 thru 34,155541,288,0.18516018284568056
2009,Rensselaer,Alcohol,35 thru 44,155541,388,0.24945191300043076
2009,Rensselaer,Alcohol,45 thru 54,155541,401,0.25780983792054823
2009,Rensselaer,Alcohol,55 and Older,155541,164,0.10543843745379032
2009,Rensselaer,Alcohol,Under 18,155541,30,0.019287519046425058
2009,Rensselaer,All Others,18 thru 24,155541,9,0.0057862557139275175
2009,Rensselaer,All Others,25 thru 34,155541,13,0.008357924920117525
2009,Rensselaer,All Others,35 thru 44,155541,6,0.0038575038092850114
2009,Rensselaer,All Others,45 thru 54,155541,4,0.0025716692061900077
2009,Rensselaer,All Others,55 and Older,155541,4,0.0025716692061900077
2009,Rensselaer,All Others,Under 18,155541,2,0.0012858346030950039
2009,Rensselaer,Cocaine incl Crack,18 thru 24,155541,34,0.021859188252615066
2009,Rensselaer,Cocaine incl Crack,25 thru 34,155541,48,0.03086003047428009
2009,Rensselaer,Cocaine incl Crack,35 thru 44,155541,86,0.05529088793308516
2009,Rensselaer,Cocaine incl Crack,45 thru 54,155541,63,0.040503789997492615
2009,Rensselaer,Cocaine incl Crack,55 and Older,155541,9,0.0057862557139275175
2009,Rensselaer,Cocaine incl Crack,Under 18,155541,1,0.0006429173015475019
2009,Rensselaer,Heroin,18 thru 24,155541,92,0.05914839174237018
2009,Rensselaer,Heroin,25 thru 34,155541,108,0.0694350685671302
2009,Rensselaer,Heroin,35 thru 44,155541,53,0.0340746169820176
2009,Rensselaer,Heroin,45 thru 54,155541,38,0.024430857458805074
2009,Rensselaer,Heroin,55 and Older,155541,8,0.0051433384123800155
2009,Rensselaer,Heroin,Under 18,155541,3,0.0019287519046425057
2009,Rensselaer,Marijuana incl Hashish,18 thru 24,155541,132,0.08486508380427026
2009,Rensselaer,Marijuana incl Hashish,25 thru 34,155541,95,0.06107714364701269
2009,Rensselaer,Marijuana incl Hashish,35 thru 44,155541,45,0.02893127856963759
2009,Rensselaer,Marijuana incl Hashish,45 thru 54,155541,15,0.009643759523212529
2009,Rensselaer,Marijuana incl Hashish,55 and Older,155541,1,0.0006429173015475019
2009,Rensselaer,Marijuana incl Hashish,Under 18,155541,130,0.08357924920117525
2009,Rensselaer,Other Opioids,18 thru 24,155541,35,0.022502105554162568
2009,Rensselaer,Other Opioids,25 thru 34,155541,35,0.022502105554162568
2009,Rensselaer,Other Opioids,35 thru 44,155541,19,0.012215428729402535
2009,Rensselaer,Other Opioids,45 thru 54,155541,21,0.01350126333249754
2009,Rensselaer,Other Opioids,55 and Older,155541,16,0.010286676824760031
2009,Rensselaer,Other Opioids,Under 18,155541,4,0.0025716692061900077
2009,Richmond,Alcohol,18 thru 24,491730,200,0.040672726902975215
2009,Richmond,Alcohol,25 thru 34,491730,633,0.12872918064791652
2009,Richmond,Alcohol,35 thru 44,491730,1641,0.33371972423891155
2009,Richmond,Alcohol,45 thru 54,491730,2098,0.42665690521220995
2009,Richmond,Alcohol,55 and Older,491730,753,0.15313281678970167
2009,Richmond,Alcohol,Under 18,491730,27,0.005490818131901653
2009,Richmond,All Others,18 thru 24,491730,67,0.013625363512496696
2009,Richmond,All Others,25 thru 34,491730,122,0.024810363410814877
2009,Richmond,All Others,35 thru 44,491730,103,0.020946454355032233
2009,Richmond,All Others,45 thru 54,491730,62,0.012608545339922315
2009,Richmond,All Others,55 and Older,491730,29,0.005897545400931406
2009,Richmond,All Others,Under 18,491730,14,0.0028470908832082644
2009,Richmond,Cocaine incl Crack,18 thru 24,491730,36,0.0073210908425355384
2009,Richmond,Cocaine incl Crack,25 thru 34,491730,134,0.02725072702499339
2009,Richmond,Cocaine incl Crack,35 thru 44,491730,233,0.04738372684196612
2009,Richmond,Cocaine incl Crack,45 thru 54,491730,144,0.029284363370142154
2009,Richmond,Cocaine incl Crack,55 and Older,491730,18,0.0036605454212677692
2009,Richmond,Cocaine incl Crack,Under 18,491730,1,0.00020336363451487605
2009,Richmond,Heroin,18 thru 24,491730,177,0.03599536330913307
2009,Richmond,Heroin,25 thru 34,491730,453,0.09212372643523885
2009,Richmond,Heroin,35 thru 44,491730,541,0.11001972627254793
2009,Richmond,Heroin,45 thru 54,491730,350,0.07117727208020662
2009,Richmond,Heroin,55 and Older,491730,81,0.01647245439570496
2009,Richmond,Heroin,Under 18,491730,1,0.00020336363451487605
2009,Richmond,Marijuana incl Hashish,18 thru 24,491730,307,0.06243263579606694
2009,Richmond,Marijuana incl Hashish,25 thru 34,491730,197,0.040062635999430586
2009,Richmond,Marijuana incl Hashish,35 thru 44,491730,84,0.017082545299249588
2009,Richmond,Marijuana incl Hashish,45 thru 54,491730,47,0.009558090822199175
2009,Richmond,Marijuana incl Hashish,55 and Older,491730,7,0.0014235454416041324
2009,Richmond,Marijuana incl Hashish,Under 18,491730,309,0.0628393630650967
2009,Richmond,Other Opioids,18 thru 24,491730,249,0.05063754499420414
2009,Richmond,Other Opioids,25 thru 34,491730,205,0.04168954507554959
2009,Richmond,Other Opioids,35 thru 44,491730,88,0.017895999837309093
2009,Richmond,Other Opioids,45 thru 54,491730,67,0.013625363512496696
2009,Richmond,Other Opioids,55 and Older,491730,35,0.007117727208020661
2009,Richmond,Other Opioids,Under 18,491730,10,0.002033636345148761
2009,Rockland,Alcohol,18 thru 24,300173,186,0.0619642672725395
2009,Rockland,Alcohol,25 thru 34,300173,393,0.13092450020488186
2009,Rockland,Alcohol,35 thru 44,300173,523,0.17423285905128044
2009,Rockland,Alcohol,45 thru 54,300173,548,0.18256138959866478
2009,Rockland,Alcohol,55 and Older,300173,224,0.0746236337045637
2009,Rockland,Alcohol,Under 18,300173,8,0.0026651297751629894
2009,Rockland,All Others,18 thru 24,300173,13,0.004330835884639858
2009,Rockland,All Others,25 thru 34,300173,35,0.01165994276633808
2009,Rockland,All Others,35 thru 44,300173,26,0.008661671769279716
2009,Rockland,All Others,45 thru 54,300173,26,0.008661671769279716
2009,Rockland,All Others,55 and Older,300173,11,0.0036645534408491103
2009,Rockland,All Others,Under 18,300173,1,0.00033314122189537367
2009,Rockland,Cocaine incl Crack,18 thru 24,300173,30,0.009994236656861211
2009,Rockland,Cocaine incl Crack,25 thru 34,300173,80,0.02665129775162989
2009,Rockland,Cocaine incl Crack,35 thru 44,300173,150,0.04997118328430604
2009,Rockland,Cocaine incl Crack,45 thru 54,300173,95,0.0316484160800605
2009,Rockland,Cocaine incl Crack,55 and Older,300173,21,0.0069959656598028485
2009,Rockland,Cocaine incl Crack,Under 18,300173,3,0.000999423665686121
2009,Rockland,Heroin,18 thru 24,300173,215,0.07162536270750533
2009,Rockland,Heroin,25 thru 34,300173,258,0.08595043524900642
2009,Rockland,Heroin,35 thru 44,300173,164,0.05463516039084128
2009,Rockland,Heroin,45 thru 54,300173,107,0.035646110742804986
2009,Rockland,Heroin,55 and Older,300173,21,0.006995965659802848
2009,Rockland,Heroin,Under 18,300173,2,0.0006662824437907473
2009,Rockland,Marijuana incl Hashish,18 thru 24,300173,204,0.06796080926665622
2009,Rockland,Marijuana incl Hashish,25 thru 34,300173,139,0.04630662984345693
2009,Rockland,Marijuana incl Hashish,35 thru 44,300173,45,0.014991354985291815
2009,Rockland,Marijuana incl Hashish,45 thru 54,300173,12,0.003997694662744484
2009,Rockland,Marijuana incl Hashish,55 and Older,300173,2,0.0006662824437907473
2009,Rockland,Marijuana incl Hashish,Under 18,300173,64,0.02132103820130391
2009,Rockland,Other Opioids,18 thru 24,300173,76,0.025318732864048395
2009,Rockland,Other Opioids,25 thru 34,300173,72,0.023986167976466903
2009,Rockland,Other Opioids,35 thru 44,300173,55,0.018322767204245548
2009,Rockland,Other Opioids,45 thru 54,300173,53,0.017656484760454803
2009,Rockland,Other Opioids,55 and Older,300173,23,0.007662248103593594
2009,Rockland,Other Opioids,Under 18,300173,1,0.00033314122189537367
2009,Saratoga,Alcohol,18 thru 24,220069,59,0.026809773298374605
2009,Saratoga,Alcohol,25 thru 34,220069,131,0.05952678478113683
2009,Saratoga,Alcohol,35 thru 44,220069,141,0.06407081415374269
2009,Saratoga,Alcohol,45 thru 54,220069,134,0.06088999359291858
2009,Saratoga,Alcohol,55 and Older,220069,31,0.01408649105507818
2009,Saratoga,Alcohol,Under 18,220069,10,0.004544029372605864
2009,Saratoga,All Others,18 thru 24,220069,4,0.0018176117490423457
2009,Saratoga,All Others,25 thru 34,220069,2,0.0009088058745211729
2009,Saratoga,All Others,45 thru 54,220069,1,0.00045440293726058643
2009,Saratoga,All Others,55 and Older,220069,1,0.00045440293726058643
2009,Saratoga,Cocaine incl Crack,18 thru 24,220069,5,0.002272014686302932
2009,Saratoga,Cocaine incl Crack,25 thru 34,220069,22,0.009996864619732902
2009,Saratoga,Cocaine incl Crack,35 thru 44,220069,26,0.011814476368775249
2009,Saratoga,Cocaine incl Crack,45 thru 54,220069,9,0.004089626435345278
2009,Saratoga,Cocaine incl Crack,55 and Older,220069,3,0.0013632088117817593
2009,Saratoga,Heroin,18 thru 24,220069,22,0.009996864619732902
2009,Saratoga,Heroin,25 thru 34,220069,28,0.01272328224329642
2009,Saratoga,Heroin,35 thru 44,220069,5,0.002272014686302932
2009,Saratoga,Heroin,45 thru 54,220069,3,0.0013632088117817593
2009,Saratoga,Heroin,55 and Older,220069,2,0.0009088058745211729
2009,Saratoga,Marijuana incl Hashish,18 thru 24,220069,34,0.015449699866859939
2009,Saratoga,Marijuana incl Hashish,25 thru 34,220069,25,0.01136007343151466
2009,Saratoga,Marijuana incl Hashish,35 thru 44,220069,12,0.005452835247127037
2009,Saratoga,Marijuana incl Hashish,45 thru 54,220069,7,0.003180820560824105
2009,Saratoga,Marijuana incl Hashish,55 and Older,220069,1,0.00045440293726058643
2009,Saratoga,Marijuana incl Hashish,Under 18,220069,29,0.013177685180557007
2009,Saratoga,Other Opioids,18 thru 24,220069,13,0.005907238184387624
2009,Saratoga,Other Opioids,25 thru 34,220069,18,0.008179252870690556
2009,Saratoga,Other Opioids,35 thru 44,220069,11,0.004998432309866451
2009,Saratoga,Other Opioids,45 thru 54,220069,9,0.004089626435345278
2009,Saratoga,Other Opioids,55 and Older,220069,2,0.0009088058745211729
2009,Schenectady,Alcohol,18 thru 24,152169,248,0.16297669039028972
2009,Schenectady,Alcohol,25 thru 34,152169,582,0.3824694911578574
2009,Schenectady,Alcohol,35 thru 44,152169,873,0.573704236736786
2009,Schenectady,Alcohol,45 thru 54,152169,901,0.5921048308131089
2009,Schenectady,Alcohol,55 and Older,152169,246,0.16166236224198094
2009,Schenectady,Alcohol,Under 18,152169,84,0.055201782228969105
2009,Schenectady,All Others,18 thru 24,152169,29,0.01905775815047743
2009,Schenectady,All Others,25 thru 34,152169,30,0.019714922224631823
2009,Schenectady,All Others,35 thru 44,152169,42,0.027600891114484553
2009,Schenectady,All Others,45 thru 54,152169,33,0.021686414447095008
2009,Schenectady,All Others,55 and Older,152169,10,0.006571640741543942
2009,Schenectady,All Others,Under 18,152169,10,0.006571640741543941
2009,Schenectady,Cocaine incl Crack,18 thru 24,152169,69,0.045344321116653194
2009,Schenectady,Cocaine incl Crack,25 thru 34,152169,211,0.1386616196465772
2009,Schenectady,Cocaine incl Crack,35 thru 44,152169,416,0.273380254848228
2009,Schenectady,Cocaine incl Crack,45 thru 54,152169,328,0.21554981632264128
2009,Schenectady,Cocaine incl Crack,55 and Older,152169,50,0.032858203707719705
2009,Schenectady,Cocaine incl Crack,Under 18,152169,10,0.006571640741543942
2009,Schenectady,Heroin,18 thru 24,152169,252,0.1656053466869073
2009,Schenectady,Heroin,25 thru 34,152169,507,0.33318218559627777
2009,Schenectady,Heroin,35 thru 44,152169,345,0.22672160558326596
2009,Schenectady,Heroin,45 thru 54,152169,270,0.1774343000216864
2009,Schenectady,Heroin,55 and Older,152169,61,0.04008700852341804
2009,Schenectady,Heroin,Under 18,152169,7,0.004600148519080759
2009,Schenectady,Marijuana incl Hashish,18 thru 24,152169,369,0.24249354336297144
2009,Schenectady,Marijuana incl Hashish,25 thru 34,152169,299,0.19649205817216384
2009,Schenectady,Marijuana incl Hashish,35 thru 44,152169,137,0.09003147815915201
2009,Schenectady,Marijuana incl Hashish,45 thru 54,152169,50,0.03285820370771971
2009,Schenectady,Marijuana incl Hashish,55 and Older,152169,7,0.004600148519080759
2009,Schenectady,Marijuana incl Hashish,Under 18,152169,367,0.24117921521466268
2009,Schenectady,Other Opioids,18 thru 24,152169,113,0.07425954037944653
2009,Schenectady,Other Opioids,25 thru 34,152169,179,0.11763236927363654
2009,Schenectady,Other Opioids,35 thru 44,152169,70,0.046001485190807594
2009,Schenectady,Other Opioids,45 thru 54,152169,44,0.02891521926279334
2009,Schenectady,Other Opioids,55 and Older,152169,20,0.013143281483087884
2009,Schenectady,Other Opioids,Under 18,152169,14,0.009200297038161519
2009,Schoharie,Alcohol,18 thru 24,31529,21,0.0666053474578959
2009,Schoharie,Alcohol,25 thru 34,31529,41,0.13003901170351106
2009,Schoharie,Alcohol,35 thru 44,31529,34,0.10783722921754574
2009,Schoharie,Alcohol,45 thru 54,31529,19,0.06026198103333439
2009,Schoharie,Alcohol,55 and Older,31529,9,0.028545148910526816
2009,Schoharie,Alcohol,Under 18,31529,5,0.01585841606140379
2009,Schoharie,All Others,18 thru 24,31529,1,0.0031716832122807574
2009,Schoharie,All Others,25 thru 34,31529,1,0.0031716832122807574
2009,Schoharie,All Others,Under 18,31529,2,0.006343366424561515
2009,Schoharie,Cocaine incl Crack,25 thru 34,31529,3,0.009515049636842271
2009,Schoharie,Cocaine incl Crack,35 thru 44,31529,7,0.022201782485965302
2009,Schoharie,Cocaine incl Crack,45 thru 54,31529,2,0.006343366424561515
2009,Schoharie,Heroin,18 thru 24,31529,1,0.0031716832122807574
2009,Schoharie,Heroin,25 thru 34,31529,2,0.006343366424561515
2009,Schoharie,Marijuana incl Hashish,18 thru 24,31529,15,0.04757524818421136
2009,Schoharie,Marijuana incl Hashish,25 thru 34,31529,7,0.022201782485965302
2009,Schoharie,Marijuana incl Hashish,35 thru 44,31529,2,0.006343366424561515
2009,Schoharie,Marijuana incl Hashish,45 thru 54,31529,3,0.009515049636842271
2009,Schoharie,Marijuana incl Hashish,Under 18,31529,25,0.07929208030701894
2009,Schoharie,Other Opioids,25 thru 34,31529,3,0.009515049636842271
2009,Schoharie,Other Opioids,35 thru 44,31529,5,0.01585841606140379
2009,Schoharie,Other Opioids,45 thru 54,31529,2,0.006343366424561515
2009,Schuyler,Alcohol,18 thru 24,18720,24,0.1282051282051282
2009,Schuyler,Alcohol,25 thru 34,18720,24,0.1282051282051282
2009,Schuyler,Alcohol,35 thru 44,18720,18,0.09615384615384616
2009,Schuyler,Alcohol,45 thru 54,18720,21,0.11217948717948717
2009,Schuyler,Alcohol,55 and Older,18720,2,0.010683760683760684
2009,Schuyler,Alcohol,Under 18,18720,4,0.021367521367521368
2009,Schuyler,All Others,25 thru 34,18720,3,0.016025641025641024
2009,Schuyler,Cocaine incl Crack,35 thru 44,18720,1,0.005341880341880342
2009,Schuyler,Cocaine incl Crack,45 thru 54,18720,1,0.005341880341880342
2009,Schuyler,Heroin,18 thru 24,18720,4,0.021367521367521368
2009,Schuyler,Heroin,25 thru 34,18720,2,0.010683760683760684
2009,Schuyler,Heroin,45 thru 54,18720,1,0.005341880341880342
2009,Schuyler,Marijuana incl Hashish,18 thru 24,18720,7,0.0373931623931624
2009,Schuyler,Marijuana incl Hashish,25 thru 34,18720,7,0.0373931623931624
2009,Schuyler,Marijuana incl Hashish,35 thru 44,18720,3,0.016025641025641024
2009,Schuyler,Marijuana incl Hashish,45 thru 54,18720,3,0.016025641025641024
2009,Schuyler,Marijuana incl Hashish,Under 18,18720,10,0.05341880341880342
2009,Schuyler,Other Opioids,18 thru 24,18720,2,0.010683760683760684
2009,Schuyler,Other Opioids,25 thru 34,18720,5,0.02670940170940171
2009,Schuyler,Other Opioids,35 thru 44,18720,1,0.005341880341880342
2009,Schuyler,Other Opioids,45 thru 54,18720,3,0.016025641025641024
2009,Seneca,Alcohol,18 thru 24,34049,62,0.18209051660841727
2009,Seneca,Alcohol,25 thru 34,34049,80,0.2349555053011836
2009,Seneca,Alcohol,35 thru 44,34049,55,0.16153190989456373
2009,Seneca,Alcohol,45 thru 54,34049,56,0.16446885371082848
2009,Seneca,Alcohol,55 and Older,34049,18,0.05286498869276631
2009,Seneca,Alcohol,Under 18,34049,5,0.014684719081323974
2009,Seneca,All Others,18 thru 24,34049,1,0.002936943816264795
2009,Seneca,All Others,25 thru 34,34049,2,0.00587388763252959
2009,Seneca,Cocaine incl Crack,18 thru 24,34049,7,0.020558606713853563
2009,Seneca,Cocaine incl Crack,25 thru 34,34049,16,0.04699110106023671
2009,Seneca,Cocaine incl Crack,35 thru 44,34049,16,0.04699110106023671
2009,Seneca,Cocaine incl Crack,45 thru 54,34049,14,0.041117213427707126
2009,Seneca,Cocaine incl Crack,55 and Older,34049,1,0.002936943816264795
2009,Seneca,Heroin,18 thru 24,34049,17,0.049928044876501515
2009,Seneca,Heroin,25 thru 34,34049,20,0.058738876325295904
2009,Seneca,Heroin,35 thru 44,34049,5,0.014684719081323974
2009,Seneca,Marijuana incl Hashish,18 thru 24,34049,58,0.1703427413433581
2009,Seneca,Marijuana incl Hashish,25 thru 34,34049,21,0.0616758201415607
2009,Seneca,Marijuana incl Hashish,35 thru 44,34049,4,0.011747775265059178
2009,Seneca,Marijuana incl Hashish,45 thru 54,34049,7,0.020558606713853563
2009,Seneca,Marijuana incl Hashish,55 and Older,34049,3,0.008810831448794383
2009,Seneca,Marijuana incl Hashish,Under 18,34049,23,0.06754970777409028
2009,Seneca,Other Opioids,18 thru 24,34049,26,0.07636053922288466
2009,Seneca,Other Opioids,25 thru 34,34049,24,0.07048665159035508
2009,Seneca,Other Opioids,35 thru 44,34049,6,0.01762166289758877
2009,Seneca,Other Opioids,45 thru 54,34049,4,0.01174777526505918
2009,Seneca,Other Opioids,Under 18,34049,2,0.00587388763252959
2009,Steuben,Alcohol,18 thru 24,96552,117,0.12117822520507084
2009,Steuben,Alcohol,25 thru 34,96552,201,0.20817797663435245
2009,Steuben,Alcohol,35 thru 44,96552,220,0.22785649183859477
2009,Steuben,Alcohol,45 thru 54,96552,351,0.3635346756152125
2009,Steuben,Alcohol,55 and Older,96552,195,0.20196370867511806
2009,Steuben,Alcohol,Under 18,96552,17,0.01760709255116414
2009,Steuben,All Others,18 thru 24,96552,2,0.002071422653078134
2009,Steuben,All Others,25 thru 34,96552,9,0.009321401938851604
2009,Steuben,All Others,35 thru 44,96552,4,0.004142845306156268
2009,Steuben,All Others,45 thru 54,96552,5,0.0051785566326953344
2009,Steuben,Cocaine incl Crack,18 thru 24,96552,6,0.006214267959234402
2009,Steuben,Cocaine incl Crack,25 thru 34,96552,22,0.022785649183859474
2009,Steuben,Cocaine incl Crack,35 thru 44,96552,22,0.022785649183859474
2009,Steuben,Cocaine incl Crack,45 thru 54,96552,24,0.024857071836937607
2009,Steuben,Cocaine incl Crack,55 and Older,96552,3,0.003107133979617201
2009,Steuben,Heroin,18 thru 24,96552,46,0.047642721020797085
2009,Steuben,Heroin,25 thru 34,96552,71,0.07353550418427375
2009,Steuben,Heroin,35 thru 44,96552,14,0.014499958571546939
2009,Steuben,Heroin,45 thru 54,96552,8,0.008285690612312536
2009,Steuben,Heroin,55 and Older,96552,12,0.012428535918468804
2009,Steuben,Marijuana incl Hashish,18 thru 24,96552,66,0.06835694755157842
2009,Steuben,Marijuana incl Hashish,25 thru 34,96552,43,0.04453558704117988
2009,Steuben,Marijuana incl Hashish,35 thru 44,96552,12,0.012428535918468804
2009,Steuben,Marijuana incl Hashish,45 thru 54,96552,7,0.007249979285773469
2009,Steuben,Marijuana incl Hashish,Under 18,96552,32,0.03314276244925015
2009,Steuben,Other Opioids,18 thru 24,96552,58,0.06007125693926589
2009,Steuben,Other Opioids,25 thru 34,96552,65,0.06732123622503935
2009,Steuben,Other Opioids,35 thru 44,96552,24,0.024857071836937607
2009,Steuben,Other Opioids,45 thru 54,96552,23,0.023821360510398543
2009,Steuben,Other Opioids,55 and Older,96552,13,0.01346424724500787
2009,Steuben,Other Opioids,Under 18,96552,1,0.001035711326539067
2009,Suffolk,Alcohol,18 thru 24,1518475,1103,0.07263866708375179
2009,Suffolk,Alcohol,25 thru 34,1518475,2126,0.14000889049869114
2009,Suffolk,Alcohol,35 thru 44,1518475,2468,0.1625314871828644
2009,Suffolk,Alcohol,45 thru 54,1518475,2617,0.17234396351602757
2009,Suffolk,Alcohol,55 and Older,1518475,995,0.06552626813085495
2009,Suffolk,Alcohol,Under 18,1518475,181,0.01191985380068819
2009,Suffolk,All Others,18 thru 24,1518475,131,0.008627076507680402
2009,Suffolk,All Others,25 thru 34,1518475,185,0.012183275984128814
2009,Suffolk,All Others,35 thru 44,1518475,110,0.007244110044617132
2009,Suffolk,All Others,45 thru 54,1518475,114,0.007507532228057755
2009,Suffolk,All Others,55 and Older,1518475,37,0.0024366551968257625
2009,Suffolk,All Others,Under 18,1518475,27,0.0017780997382242053
2009,Suffolk,Cocaine incl Crack,18 thru 24,1518475,288,0.018966397207724854
2009,Suffolk,Cocaine incl Crack,25 thru 34,1518475,715,0.047086715290011356
2009,Suffolk,Cocaine incl Crack,35 thru 44,1518475,1223,0.08054133258697048
2009,Suffolk,Cocaine incl Crack,45 thru 54,1518475,662,0.043596371359423104
2009,Suffolk,Cocaine incl Crack,55 and Older,1518475,87,0.00572943248983355
2009,Suffolk,Cocaine incl Crack,Under 18,1518475,15,0.0009878331879023363
2009,Suffolk,Heroin,18 thru 24,1518475,1841,0.12124005992854672
2009,Suffolk,Heroin,25 thru 34,1518475,1197,0.07882908839460642
2009,Suffolk,Heroin,35 thru 44,1518475,448,0.029503284545349773
2009,Suffolk,Heroin,45 thru 54,1518475,264,0.01738586410708112
2009,Suffolk,Heroin,55 and Older,1518475,60,0.003951332751609345
2009,Suffolk,Heroin,Under 18,1518475,86,0.005663576943973394
2009,Suffolk,Marijuana incl Hashish,18 thru 24,1518475,1125,0.07408748909267521
2009,Suffolk,Marijuana incl Hashish,25 thru 34,1518475,763,0.05024778149129883
2009,Suffolk,Marijuana incl Hashish,35 thru 44,1518475,267,0.017583430744661583
2009,Suffolk,Marijuana incl Hashish,45 thru 54,1518475,104,0.006848976769456198
2009,Suffolk,Marijuana incl Hashish,55 and Older,1518475,26,0.0017122441923640495
2009,Suffolk,Marijuana incl Hashish,Under 18,1518475,628,0.04135728280017781
2009,Suffolk,Other Opioids,18 thru 24,1518475,609,0.040106027428834845
2009,Suffolk,Other Opioids,25 thru 34,1518475,608,0.04004017188297469
2009,Suffolk,Other Opioids,35 thru 44,1518475,326,0.021468907950410773
2009,Suffolk,Other Opioids,45 thru 54,1518475,236,0.015541908822996756
2009,Suffolk,Other Opioids,55 and Older,1518475,94,0.00619042131085464
2009,Suffolk,Other Opioids,Under 18,1518475,36,0.0023707996509656068
2009,Sullivan,Alcohol,18 thru 24,75828,77,0.10154560320725853
2009,Sullivan,Alcohol,25 thru 34,75828,188,0.24792952471382604
2009,Sullivan,Alcohol,35 thru 44,75828,174,0.22946668776705176
2009,Sullivan,Alcohol,45 thru 54,75828,212,0.2795801023368676
2009,Sullivan,Alcohol,55 and Older,75828,69,0.09099541066624467
2009,Sullivan,Alcohol,Under 18,75828,12,0.01582528881152081
2009,Sullivan,All Others,18 thru 24,75828,27,0.03560689982592183
2009,Sullivan,All Others,25 thru 34,75828,10,0.01318774067626734
2009,Sullivan,All Others,35 thru 44,75828,2,0.002637548135253468
2009,Sullivan,All Others,45 thru 54,75828,1,0.001318774067626734
2009,Sullivan,All Others,55 and Older,75828,3,0.003956322202880202
2009,Sullivan,All Others,Under 18,75828,32,0.04220077016405549
2009,Sullivan,Cocaine incl Crack,18 thru 24,75828,30,0.039563222028802025
2009,Sullivan,Cocaine incl Crack,25 thru 34,75828,47,0.06198238117845651
2009,Sullivan,Cocaine incl Crack,35 thru 44,75828,72,0.09495173286912485
2009,Sullivan,Cocaine incl Crack,45 thru 54,75828,45,0.05934483304320303
2009,Sullivan,Cocaine incl Crack,55 and Older,75828,18,0.023737933217281217
2009,Sullivan,Cocaine incl Crack,Under 18,75828,13,0.017144062879147545
2009,Sullivan,Heroin,18 thru 24,75828,143,0.18858469167062297
2009,Sullivan,Heroin,25 thru 34,75828,134,0.17671572506198238
2009,Sullivan,Heroin,35 thru 44,75828,114,0.1503402437094477
2009,Sullivan,Heroin,45 thru 54,75828,41,0.0540697367726961
2009,Sullivan,Heroin,55 and Older,75828,11,0.014506514743894075
2009,Sullivan,Heroin,Under 18,75828,5,0.00659387033813367
2009,Sullivan,Marijuana incl Hashish,18 thru 24,75828,163,0.21496017302315767
2009,Sullivan,Marijuana incl Hashish,25 thru 34,75828,85,0.1120957957482724
2009,Sullivan,Marijuana incl Hashish,35 thru 44,75828,44,0.0580260589755763
2009,Sullivan,Marijuana incl Hashish,45 thru 54,75828,13,0.017144062879147545
2009,Sullivan,Marijuana incl Hashish,55 and Older,75828,4,0.005275096270506936
2009,Sullivan,Marijuana incl Hashish,Under 18,75828,64,0.08440154032811098
2009,Sullivan,Other Opioids,18 thru 24,75828,41,0.0540697367726961
2009,Sullivan,Other Opioids,25 thru 34,75828,45,0.05934483304320304
2009,Sullivan,Other Opioids,35 thru 44,75828,27,0.035606899825921814
2009,Sullivan,Other Opioids,45 thru 54,75828,12,0.01582528881152081
2009,Sullivan,Other Opioids,55 and Older,75828,4,0.005275096270506936
2009,Sullivan,Other Opioids,Under 18,75828,10,0.01318774067626734
2009,Tioga,Alcohol,18 thru 24,50064,18,0.03595397890699904
2009,Tioga,Alcohol,25 thru 34,50064,25,0.049936081815276444
2009,Tioga,Alcohol,35 thru 44,50064,19,0.037951422179610096
2009,Tioga,Alcohol,45 thru 54,50064,11,0.02197187599872164
2009,Tioga,Alcohol,55 and Older,50064,12,0.023969319271332692
2009,Tioga,Alcohol,Under 18,50064,1,0.0019974432726110576
2009,Tioga,All Others,18 thru 24,50064,1,0.0019974432726110576
2009,Tioga,All Others,25 thru 34,50064,2,0.003994886545222115
2009,Tioga,All Others,35 thru 44,50064,3,0.005992329817833173
2009,Tioga,Cocaine incl Crack,18 thru 24,50064,1,0.0019974432726110576
2009,Tioga,Cocaine incl Crack,25 thru 34,50064,2,0.003994886545222115
2009,Tioga,Cocaine incl Crack,35 thru 44,50064,2,0.003994886545222115
2009,Tioga,Cocaine incl Crack,45 thru 54,50064,3,0.005992329817833173
2009,Tioga,Heroin,18 thru 24,50064,6,0.011984659635666346
2009,Tioga,Heroin,25 thru 34,50064,4,0.00798977309044423
2009,Tioga,Marijuana incl Hashish,18 thru 24,50064,36,0.07190795781399809
2009,Tioga,Marijuana incl Hashish,25 thru 34,50064,11,0.02197187599872164
2009,Tioga,Marijuana incl Hashish,35 thru 44,50064,4,0.00798977309044423
2009,Tioga,Marijuana incl Hashish,45 thru 54,50064,3,0.005992329817833173
2009,Tioga,Marijuana incl Hashish,55 and Older,50064,1,0.0019974432726110576
2009,Tioga,Marijuana incl Hashish,Under 18,50064,13,0.025966762543943755
2009,Tioga,Other Opioids,18 thru 24,50064,5,0.009987216363055289
2009,Tioga,Other Opioids,25 thru 34,50064,1,0.0019974432726110576
2009,Tioga,Other Opioids,Under 18,50064,1,0.0019974432726110576
